dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,200.274316,119.569294,150.963513,12.451175,-0.097918,1.440231,5.430028
0.200000,201.849482,117.638035,153.455683,12.460852,0.048382,0.731499,5.364159
0.200000,203.302111,115.609124,155.951001,12.476590,0.078691,0.151545,5.304352
0.200000,204.637725,113.500017,158.447438,12.482184,0.027968,-0.253613,5.250406
0.200000,205.862174,111.328118,160.940713,12.466377,-0.079035,-0.535016,5.201933
0.200000,206.981946,109.109546,163.425860,12.425731,-0.203225,-0.620953,5.158445
0.200000,208.003797,106.859022,165.897506,12.358232,-0.337499,-0.671369,5.119428
0.200000,208.934542,104.589786,168.350202,12.263480,-0.473760,-0.681305,5.084386
0.200000,209.781114,102.312988,170.779295,12.145467,-0.590064,-0.581519,5.052854
0.200000,210.550114,100.038502,173.180264,12.004841,-0.703129,-0.565326,5.024414
0.200000,211.247906,97.774584,175.549279,11.845078,-0.798813,-0.478422,4.998696
0.200000,211.880483,95.528205,177.883026,11.668736,-0.881712,-0.414491,4.975376
0.200000,212.453346,93.305581,180.178288,11.476310,-0.962129,-0.402087,4.954175
0.200000,212.971719,91.111489,182.432784,11.272479,-1.019158,-0.285145,4.934845
0.200000,213.440282,88.950494,184.643994,11.056052,-1.082134,-0.314880,4.917179
0.200000,213.863452,86.825954,186.810268,10.831368,-1.123419,-0.206427,4.900991
0.200000,214.245215,84.740933,188.929951,10.598413,-1.164773,-0.206767,4.886123
0.200000,214.589166,82.698361,191.001280,10.356644,-1.208844,-0.220358,4.872440
0.200000,214.898698,80.700156,193.023317,10.110187,-1.232288,-0.117218,4.859821
0.200000,215.176848,78.748280,194.994912,9.857973,-1.261068,-0.143898,4.848160
0.200000,215.426388,76.844473,196.915003,9.600459,-1.287574,-0.132529,4.837369
0.200000,215.649889,74.989972,198.782924,9.339603,-1.304277,-0.083515,4.827367
0.200000,215.849658,73.186202,200.597722,9.073993,-1.328050,-0.118869,4.818083
0.200000,216.027835,71.434207,202.358755,8.805161,-1.344162,-0.080561,4.809457
0.200000,216.186399,69.734688,204.065654,8.534498,-1.353315,-0.045763,4.801434
0.200000,216.327129,68.088597,205.717750,8.260478,-1.370100,-0.083925,4.793964
0.200000,216.451683,66.496516,207.314696,7.984730,-1.378740,-0.043198,4.787005
0.200000,216.561569,64.959127,208.856006,7.706554,-1.390880,-0.060701,4.780519
0.200000,216.658185,63.476885,210.341394,7.426937,-1.398084,-0.036020,4.774471
0.200000,216.742808,62.050282,211.770505,7.145554,-1.406915,-0.044153,4.768832
0.200000,216.816616,60.679750,213.143023,6.862591,-1.414816,-0.039505,4.763573
0.200000,216.880690,59.365693,214.458641,6.578090,-1.422503,-0.038435,4.758671
0.200000,216.936038,58.108295,215.717257,6.293079,-1.425056,-0.012768,4.754104
0.200000,216.983576,56.907831,216.918661,6.007024,-1.430278,-0.026111,4.749850
0.200000,217.024147,55.764659,218.062553,5.719460,-1.437820,-0.037708,4.745893
0.200000,217.058530,54.678997,219.148759,5.431029,-1.442155,-0.021676,4.742217
0.200000,217.087445,53.650896,220.177267,5.142538,-1.442451,-0.001477,4.738807
0.200000,217.111548,52.680524,221.147939,4.853359,-1.445895,-0.017223,4.735649
0.200000,217.131439,51.768158,222.060521,4.562912,-1.452235,-0.031700,4.732733
0.200000,217.147669,50.913969,222.914864,4.271715,-1.455989,-0.018771,4.730048
0.200000,217.160743,50.118024,223.710916,3.980261,-1.457269,-0.006401,4.727584
0.200000,217.171122,49.380293,224.448721,3.689023,-1.456186,0.005414,4.725333
0.200000,217.179220,48.700900,225.128162,3.397204,-1.459097,-0.014555,4.723286
0.200000,217.185411,48.080037,225.749056,3.104471,-1.463666,-0.022844,4.721438
0.200000,217.190032,47.517775,226.311337,2.811405,-1.465329,-0.008314,4.719782
0.200000,217.193386,47.014055,226.815068,2.518657,-1.463741,0.007938,4.718312
0.200000,217.195735,46.568983,227.260146,2.225387,-1.466347,-0.013026,4.717025
0.200000,217.197312,46.182587,227.646545,1.931999,-1.466943,-0.002980,4.715915
0.200000,217.198314,45.854812,227.974322,1.638884,-1.465576,0.006836,4.714980
0.200000,217.198908,45.586094,228.243041,1.343593,-1.476452,-0.054384,4.714217
0.200000,217.199232,45.374307,228.454828,1.058935,-1.423292,0.265800,4.713619
0.200000,217.199392,45.214764,228.614371,0.797717,-1.306091,0.586008,4.713169
0.200000,217.199463,45.099718,228.729417,0.575231,-1.112429,0.968307,4.712846
0.200000,217.199490,45.021917,228.807218,0.389004,-0.931133,0.906480,4.712628
0.200000,217.199499,44.974059,228.855076,0.239289,-0.748578,0.912776,4.712494
0.200000,217.199500,44.948809,228.880325,0.126248,-0.565204,0.916871,4.712423
0.200000,217.199501,44.938814,228.890321,0.049977,-0.381355,0.919244,4.712395
0.200000,217.199501,44.936710,228.892425,0.010521,-0.197280,0.920376,4.712389
0.200000,217.199501,44.936710,228.892425,0.000000,-0.052605,0.723372,4.712389
