dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,210.197104,124.007274,163.286884,15.769893,-1.514260,-0.000000,5.364159
0.200000,212.015505,121.468029,166.410577,15.467042,-1.514260,0.000000,5.304352
0.200000,213.654353,118.880575,169.473700,15.164190,-1.514260,-0.000000,5.250406
0.200000,215.128921,116.265465,172.476253,14.861338,-1.514260,0.000000,5.201933
0.200000,216.454582,113.639356,175.418235,14.558486,-1.514260,-0.000000,5.158445
0.200000,217.645918,111.015886,178.299647,14.255634,-1.514260,0.000000,5.119428
0.200000,218.716376,108.406293,181.120489,13.952782,-1.514260,0.000000,5.084386
0.200000,219.678410,105.819201,183.880760,13.649930,-1.514260,-0.000000,5.052854
0.200000,220.543110,103.261858,186.580461,13.347078,-1.514260,0.000000,5.024414
0.200000,221.320485,100.739908,189.219591,13.044226,-1.514260,-0.000000,4.998696
0.200000,222.019469,98.257851,191.798151,12.741374,-1.514260,0.000000,4.975376
0.200000,222.647921,95.819670,194.316141,12.438522,-1.514260,-0.000000,4.954175
0.200000,223.212983,93.428065,196.773560,12.135670,-1.514260,0.000000,4.934845
0.200000,223.720871,91.085793,199.170409,11.832818,-1.514260,-0.000000,4.917179
0.200000,224.177258,88.794559,201.506688,11.529966,-1.514260,0.000000,4.900991
0.200000,224.587149,86.555982,203.782396,11.227114,-1.514260,-0.000000,4.886123
0.200000,224.954967,84.371735,205.997533,10.924262,-1.514260,0.000000,4.872440
0.200000,225.284790,82.242586,208.152101,10.621411,-1.514260,-0.000000,4.859821
0.200000,225.580218,80.169504,210.246098,10.318559,-1.514260,0.000000,4.848160
0.200000,225.844489,78.153353,212.279524,10.015707,-1.514260,-0.000000,4.837369
0.200000,226.080561,76.194579,214.252380,9.712855,-1.514260,0.000000,4.827367
0.200000,226.291064,74.293927,216.164666,9.410003,-1.514260,0.000000,4.818083
0.200000,226.478407,72.451826,218.016381,9.107151,-1.514260,-0.000000,4.809457
0.200000,226.644799,70.668421,219.807526,8.804299,-1.514260,0.000000,4.801434
0.200000,226.792212,68.944183,221.538101,8.501447,-1.514260,-0.000000,4.793964
0.200000,226.922467,67.279257,223.208105,8.198595,-1.514260,0.000000,4.787005
0.200000,227.037210,65.673938,224.817539,7.895743,-1.514260,-0.000000,4.780519
0.200000,227.137957,64.128332,226.366402,7.592891,-1.514260,0.000000,4.774471
0.200000,227.226087,62.642619,227.854695,7.290039,-1.514260,0.000000,4.768832
0.200000,227.302864,61.216952,229.282418,6.987187,-1.514260,-0.000000,4.763573
0.200000,227.369447,59.851486,230.649570,6.684335,-1.514260,0.000000,4.758671
0.200000,227.426903,58.546171,231.956152,6.381483,-1.514260,0.000000,4.754104
0.200000,227.476209,57.301079,233.202164,6.078632,-1.514260,0.000000,4.749850
0.200000,227.518254,56.116386,234.387605,5.775780,-1.514260,0.000000,4.745893
0.200000,227.553859,54.992145,235.512476,5.472928,-1.514260,0.000000,4.742217
0.200000,227.583781,53.928251,236.576776,5.170076,-1.514260,0.000000,4.738807
0.200000,227.608708,52.924735,237.580506,4.867224,-1.514260,-0.000000,4.735649
0.200000,227.629267,51.981758,238.523665,4.564372,-1.514260,0.000000,4.732733
0.200000,227.646032,51.099381,239.406255,4.261520,-1.514260,-0.000000,4.730048
0.200000,227.659531,50.277570,240.228273,3.958668,-1.514260,0.000000,4.727584
0.200000,227.670242,49.516201,240.989722,3.655816,-1.514260,0.000000,4.725333
0.200000,227.678596,48.815320,241.690600,3.352964,-1.514260,-0.000000,4.723286
0.200000,227.684981,48.175050,242.330907,3.050112,-1.514260,0.000000,4.721438
0.200000,227.689745,47.595400,242.910645,2.747260,-1.514260,0.000000,4.719782
0.200000,227.693202,47.076250,243.429812,2.444408,-1.514260,0.000000,4.718312
0.200000,227.695622,46.617660,243.888408,2.141556,-1.514260,-0.000000,4.717025
0.200000,227.697247,46.219614,244.286434,1.838704,-1.514260,0.000000,4.715915
0.200000,227.698279,45.882018,244.623890,1.535853,-1.514260,0.000000,4.714980
0.200000,227.698890,45.605292,244.900775,1.233001,-1.514260,-0.000000,4.714217
0.200000,227.699224,45.387220,245.118713,0.946378,-1.433114,0.405729,4.713619
0.200000,227.699389,45.222957,245.283112,0.697611,-1.243832,0.946412,4.713169
0.200000,227.699462,45.104516,245.401543,0.486702,-1.054549,0.946412,4.712846
0.200000,227.699490,45.024423,245.481578,0.313648,-0.865267,0.946412,4.712628
0.200000,227.699499,44.975157,245.530788,0.178452,-0.675984,0.946412,4.712494
0.200000,227.699500,44.949165,245.556744,0.081111,-0.486702,0.946412,4.712423
0.200000,227.699501,44.938876,245.567018,0.021627,-0.297419,0.946412,4.712395
0.200000,227.699501,44.936710,245.569181,0.000000,-0.108137,0.946412,4.712389
0.200000,227.699501,44.936710,245.569181,0.000000,0.000000,0.540684,4.712389
