dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,218.544726,130.376513,172.741787,19.375841,-3.071740,-0.741392,5.364159
0.200000,220.728899,127.326934,176.492860,18.755362,-3.102399,-0.153295,5.304352
0.200000,222.670982,124.261134,180.122022,18.145811,-3.047754,0.273225,5.250406
0.200000,224.395668,121.202813,183.633129,17.555534,-2.951387,0.481834,5.201933
0.200000,225.927217,118.169166,187.031460,16.991656,-2.819389,0.659989,5.158445
0.200000,227.288038,115.172749,190.322409,16.454745,-2.684553,0.674180,5.119428
0.200000,228.498210,112.222799,193.510939,15.942648,-2.560486,0.620336,5.084386
0.200000,229.575706,109.325414,196.602191,15.456260,-2.431942,0.642721,5.052854
0.200000,230.536106,106.485214,199.600374,14.990919,-2.326703,0.526194,5.024414
0.200000,231.393065,103.705231,202.509444,14.545347,-2.227862,0.494204,4.998696
0.200000,232.158454,100.987498,205.332898,14.117270,-2.140383,0.437397,4.975376
0.200000,232.842495,98.333759,208.073380,13.702410,-2.074299,0.330416,4.954175
0.200000,233.454246,95.744641,210.733788,13.302043,-2.001836,0.362319,4.934845
0.200000,234.001459,93.221092,213.315985,12.910984,-1.955295,0.232704,4.917179
0.200000,234.491064,90.763164,215.822202,12.531086,-1.899493,0.279008,4.900991
0.200000,234.929083,88.371030,218.254108,12.159528,-1.857789,0.208523,4.886123
0.200000,235.320767,86.045109,220.612778,11.793350,-1.830890,0.134496,4.872440
0.200000,235.670882,83.785016,222.899828,11.435253,-1.790486,0.202018,4.859821
0.200000,235.983589,81.590728,225.116286,11.082289,-1.764821,0.128327,4.848160
0.200000,236.262590,79.462232,227.262990,10.733518,-1.743853,0.104836,4.837369
0.200000,236.511233,77.399185,229.340966,10.389883,-1.718173,0.128401,4.827367
0.200000,236.732469,75.401652,231.350714,10.048737,-1.705731,0.062212,4.818083
0.200000,236.928979,73.469445,233.292887,9.710868,-1.689344,0.081935,4.809457
0.200000,237.103200,71.602153,235.168289,9.377010,-1.669289,0.100273,4.801434
0.200000,237.257296,69.799770,236.977248,9.044794,-1.661081,0.041043,4.793964
0.200000,237.393251,68.061997,238.720331,8.715413,-1.646905,0.070877,4.787005
0.200000,237.512851,66.388750,240.397847,8.387582,-1.639154,0.038757,4.780519
0.200000,237.617729,64.779779,242.010233,8.061926,-1.628283,0.054352,4.774471
0.200000,237.709366,63.234956,243.557771,7.737692,-1.621169,0.035570,4.768832
0.200000,237.789113,61.754155,245.040718,7.414736,-1.614782,0.031935,4.763573
0.200000,237.858203,60.337279,246.459277,7.092797,-1.609692,0.025450,4.758671
0.200000,237.917769,58.984047,247.813820,6.772711,-1.600431,0.046306,4.754104
0.200000,237.968843,57.694326,249.104551,6.453658,-1.595265,0.025832,4.749850
0.200000,238.012362,56.468113,250.331537,6.134927,-1.593656,0.008040,4.745893
0.200000,238.049189,55.305293,251.494940,5.817015,-1.589558,0.020492,4.742217
